Curso,Rama,Categoria,Estilo,Distancia,Tiempo
Largo,Femenil,11-12,Libre,50,0:32.36
Largo,Femenil,13-14,Libre,50,0:30.98
Largo,Femenil,15-16,Libre,50,0:30.61
Largo,Femenil,17 & May,Libre,50,0:29.81
Largo,Femenil,11-12,Libre,100,1:07.59
Largo,Femenil,13-14,Libre,100,1:05.04
Largo,Femenil,15-16,Libre,100,1:04.50
Largo,Femenil,17 & May,Libre,100,1:03.81
Largo,Femenil,11-12,Libre,200,2:26.75
Largo,Femenil,13-14,Libre,200,2:23.95
Largo,Femenil,15-16,Libre,200,2:17.73
Largo,Femenil,17 & May,Libre,200,2:16.91
Largo,Femenil,11-12,Libre,400,5:28.76
Largo,Femenil,13-14,Libre,400,5:03.21
Largo,Femenil,15-16,Libre,400,4:47.21
Largo,Femenil,17 & May,Libre,400,4:44.34
Largo,Femenil,11-12,Libre,800,10:39.28
Largo,Femenil,13-14,Libre,800,10:29.59
Largo,Femenil,15-16,Libre,800,9:48.18
Largo,Femenil,17 & May,Libre,800,9:46.22
Largo,Femenil,13-14,Libre,1500,19:07.19
Largo,Femenil,15-16,Libre,1500,18:59.23
Largo,Femenil,17 & May,Libre,1500,18:51.33
Largo,Femenil,11-12,Dorso,50,0:36.71
Largo,Femenil,13-14,Dorso,50,0:36.12
Largo,Femenil,15-16,Dorso,50,0:34.47
Largo,Femenil,17 & May,Dorso,50,0:34.24
Largo,Femenil,11-12,Dorso,100,1:19.60
Largo,Femenil,13-14,Dorso,100,1:16.00
Largo,Femenil,15-16,Dorso,100,1:15.99
Largo,Femenil,17 & May,Dorso,100,1:14.58
Largo,Femenil,11-12,Dorso,200,2:50.14
Largo,Femenil,13-14,Dorso,200,2:49.25
Largo,Femenil,15-16,Dorso,200,2:47.28
Largo,Femenil,17 & May,Dorso,200,2:43.01
Largo,Femenil,11-12,Pecho,50,0:42.69
Largo,Femenil,13-14,Pecho,50,0:41.70
Largo,Femenil,15-16,Pecho,50,0:40.18
Largo,Femenil,17 & May,Pecho,50,0:38.11
Largo,Femenil,11-12,Pecho,100,1:30.75
Largo,Femenil,13-14,Pecho,100,1:29.52
Largo,Femenil,15-16,Pecho,100,1:27.26
